	patent_id	inventor
759	349	Roger Green B.
760	349	Jeffrey Harris M.
761	349	Phillip Smith A.
762	349	Greg Enterline A.
763	349	Michael Thomas
764	349	Kevin Mieczkowski
765	349	John Barbush A.
766	350	Guy Chartier Norman
767	351	Joachim Steinbeck
768	352	James Howard R.
769	353	Rainer Bunge
770	354	Michael Bowman John
771	355	Werner Heidel
772	356	Jinliang Ding
773	357	Graham John Gibson Juby
774	358	Thomas Benjamin Alan
775	358	Craig Jones Jay
776	358	Luther Brice Alba
777	359	Andrew Martin John
778	360	Sunggyu Lee
779	360	Asdrubal Garcia-Ortiz
780	360	John Wootton
781	361	Craig Brase S.
782	362	Dirk Bodegom Albertus
783	362	Robertus Cornelis Rullens Jacobus Maria
784	362	Arie Nooy Van Der Kolff Hessel
785	363	Alan Hassett F.
786	364	Jerry Leone
787	364	Larry Shilling
788	365	Keith Forrester Edward
789	366	Dave Van Vliet
790	366	Herbert Wallace Campbell
791	366	Stephen Barrie Chambers
792	367	Zhi Min LIAO
793	367	Jing Kui GUO
794	367	Yu He HUANG
795	367	Jing ZOU
796	367	Zhi Qiang CHEN
797	367	Rui Zhi DAI
798	367	Wen Yan SHI
799	367	Jian Zhong XIONG
800	367	Hai Ying JI
801	368	Curt A. Christeson
802	369	William C. Batten
803	369	Bruce Kyles
804	369	Charles Kemp
805	370	Vincent Ciccone Pe Dee J.
806	370	William Kirksey Pe E.
807	371	Wing YOUNG Yip
808	372	Steven Trout M.
809	373	James McMahon P.
810	374	James Berry M.
811	374	Steve Morris
812	375	Roy Ames Victor
813	375	Matthew Etherington John
814	375	Nicholas Czeperko Michael
815	375	Ian Ugarte Joseph
816	376	Torfinn Johnsen
817	377	Scott Dunn
818	378	Jiang Ji
819	379	John Stark
820	380	Keith Forrester Edward
821	381	Keith Forrester Edward
822	382	Ho Nam Chang
823	382	Do-Yun Kim
824	382	Moon-II Kim
825	382	Chul-Hee Ryu
826	382	Woo-Gi Lee
827	383	Hans Tanghe
828	384	Michael Olson A.
829	385	Glenn Helm
830	386	Roger Carson W.
831	386	Bruce Bremer W.
832	386	Michael Mastracci L.
833	386	Kent Maggard E.
834	387	Jinliang Ding
835	388	Robert J. Kelly
836	389	Thomas Benjamin Alan
837	389	Craig Jones Jay
838	389	Luther Brice Alba
839	390	Werner Heidel
840	391	Luciano Salda
841	392	Keith Forrester Edward
842	393	Roy Ames Victor
843	393	Matthew Etherington John
844	393	Nicholas Czeperko Michael
845	393	Ian Ugarte Joseph
846	394	Curt Christeson A.
847	395	Shunta Shiraishi
848	396	Charles E. Tharp
849	396	Randall C. Chann
850	397	Yoshiaki Fukuda
851	397	Hirofumi Shiochi
852	397	Motomasa Okubo
853	397	Fumiyuki Yahagi
854	397	Toshihiko Mita
855	397	Kazuo Ishihara
856	398	Michael Marcellus Thomas
857	399	Steven Lumbert
858	400	Claus Hoffjann
859	400	Hans-Juergen Heinrich
860	401	Theodore Meyers W.
861	402	William Warren
862	402	Gordon Lewis
863	402	Robert Rizzari
864	403	Paul John Hart
865	403	Rebecca K. Snyder
866	404	Pavel Koren
867	404	Igal Raz
868	404	Robert Asimov
869	404	Rami Noach
870	404	Irena Trounkovsky
871	405	Mao-Hsiao Chen
872	406	Jyh-Yeong Hwang
